지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도포장,768,170070,광주시,경안동,29.46,104.21,3.53,2019-12-25
차도포장,767,170069,광주시,경안동,56.6,546.43,9.63,2019-12-25
차도포장,766,170065,광주시,경안동,29,498,16.71,2019-12-25
차도포장,765,170061,광주시,경안동,24.09,400.85,17.42,2019-12-25
차도포장,764,170055,광주시,경안동,97.75,802.08,7.95,2019-12-25
차도포장,763,170054,광주시,경안동,17.96,154.97,8.82,2019-12-25
차도포장,762,170051,광주시,경안동,77.81,688.9,8.01,2019-12-25
차도포장,761,170050,광주시,경안동,55.57,388.02,6.97,2019-12-25
차도포장,760,170049,광주시,경안동,30.77,246.48,8.02,2019-12-25
차도포장,759,170039,광주시,경안동,33.6,367.47,10.05,2019-12-25
차도포장,758,170035,광주시,경안동,183.18,"1,641.01",10.22,2019-12-25
차도포장,757,170032,광주시,경안동,299.35,"2,757.15",7.96,2019-12-25
차도포장,756,170029,광주시,경안동,31.61,309.24,9.77,2019-12-25
차도포장,755,170027,광주시,광남동,199.59,"1,757.68",8.28,2019-12-25
차도포장,754,170026,광주시,광남동,33.23,448.89,15.23,2019-12-25
차도포장,753,170021,광주시,광남동,60.5,488.03,7.96,2019-12-25
차도포장,752,170019,광주시,광남동,27.01,282.26,9.93,2019-12-25
차도포장,751,170018,광주시,경안동,46.12,590.22,12.67,2019-12-25
차도포장,749,170017,광주시,경안동,69.48,631.71,6.78,2019-12-25
차도포장,748,170016,광주시,광남동,42.4,422.86,11.85,2019-12-25
차도포장,747,170015,광주시,광남동,171.98,"1,244.68",6.97,2019-12-25
차도포장,746,170011,광주시,광남동,94.72,347.41,3.46,2019-12-25
차도포장,745,170010,광주시,광남동,55.23,192.13,3.47,2019-12-25
차도포장,744,170005,광주시,광남동,36.97,351.76,7.92,2019-12-25
차도포장,742,170003,광주시,광남동,9.8,53.62,6.74,2019-12-25
차도포장,741,170001,광주시,광남동,125.34,"1,642.57",12.71,2019-12-25
차도포장,739,4496,광주시,오포읍,94.46,762.78,7.5,2019-12-25
차도포장,736,900424,광주시,초월읍,373.61,"3,584.53",8.76,2019-12-25
차도포장,727,4491,광주시,초월읍,10.84,528.42,17.82,2019-12-25
차도포장,726,4495,광주시,초월읍,7.82,54.83,7.09,2019-12-25
차도포장,725,4495,광주시,초월읍,69.29,454.77,6.25,2019-12-25
차도포장,721,4496,광주시,초월읍,234.44,"2,174.64",9.1,2019-12-25
차도포장,703,4489,광주시,광남동,101.6,"2,079.68",19.52,2019-12-25
차도포장,702,4486,광주시,광남동,13.14,116.75,8.59,2019-12-25
차도포장,701,4488,광주시,광남동,272.89,"5,066.16",16.75,2019-12-25
차도포장,700,4487,광주시,광남동,32.95,474.4,13.48,2019-12-25
차도포장,698,3973,광주시,경안동,41.75,301.66,7.05,2019-12-25
차도포장,695,3960,광주시,경안동,14.06,62.79,4.45,2019-12-25
차도포장,693,3958,광주시,경안동,2.02,18,4.45,2019-12-25
차도포장,688,3968,광주시,경안동,6.42,113.85,4.99,2019-12-25
차도포장,684,3972,광주시,경안동,58.62,261.92,4.46,2019-12-25
차도포장,681,3950,광주시,경안동,6.81,64.59,4.93,2019-12-25
차도포장,677,3951,광주시,경안동,32.21,160.07,4.48,2019-12-25
차도포장,673,3963,광주시,경안동,77.85,348.76,4.47,2019-12-25
차도포장,668,3977,광주시,경안동,34.54,241.68,6.94,2019-12-25
차도포장,665,3964,광주시,경안동,8.51,129.78,6.07,2019-12-25
차도포장,660,3948,광주시,경안동,37.02,165.27,4.45,2019-12-25
차도포장,657,3946,광주시,경안동,7.23,81.67,4.53,2019-12-25
차도포장,653,3955,광주시,경안동,24.63,109.48,4.44,2019-12-25
차도포장,650,3954,광주시,경안동,2,17.77,4.46,2019-12-25
차도포장,596,12,광주시,오포읍,12.47,116.75,9.36,2019-12-25
차도포장,595,13,광주시,오포읍,66.76,542.34,8.28,2019-12-25
차도포장,594,14,광주시,오포읍,163.58,673.86,4.06,2019-12-25
차도포장,593,9,광주시,오포읍,240.01,"3,985.09",15.58,2019-12-25
차도포장,592,8,광주시,오포읍,79.08,"1,576.42",19.94,2019-12-25
차도포장,591,7,광주시,오포읍,468.74,"7,382.96",14.87,2019-12-25
차도포장,590,6,광주시,오포읍,103.25,"1,693.08",15.78,2019-12-25
차도포장,589,5,광주시,오포읍,312.32,"4,857.06",15,2019-12-25
차도포장,588,4,광주시,오포읍,26.36,571.09,17.34,2019-12-25
차도포장,587,2,광주시,오포읍,17.29,"1,033.51",21.67,2019-12-25
차도포장,586,10,광주시,오포읍,58.62,730.06,9.38,2019-12-25
차도포장,585,1,광주시,오포읍,99.08,"1,814.73",17.39,2019-12-25
차도포장,578,2772,광주시,남한산성면,42.44,208.54,4.38,2019-12-25
차도포장,577,340173,광주시,남한산성면,503.04,"7,177.73",14.2,2019-12-25
차도포장,576,360310,광주시,남한산성면,"1,123.29","15,698.13",16.35,2019-12-25
차도포장,575,360011,광주시,남한산성면,575.89,"12,461.49",23.91,2019-12-25
차도포장,574,3,광주시,초월읍,13.85,99.79,5.47,2019-12-25
차도포장,573,1,광주시,초월읍,96.27,583.07,6.06,2019-12-25
차도포장,572,100003,광주시,광남동,"1,347.93","10,279.72",7.49,2019-12-25
차도포장,571,100001,광주시,광남동,199.36,"1,723.74",7.49,2019-12-25
차도포장,570,100002,광주시,광남동,29.68,227.4,7.48,2019-12-25
차도포장,558,1141,광주시,경안동,28,24,0.7,2019-12-25
차도포장,557,122857,광주시,초월읍,7.2,3,0.7,2019-12-25
차도포장,556,120723,광주시,오포읍,0.6,"3,823.00",0.7,2019-12-25
차도포장,555,120522,광주시,오포읍,0.4,"6,634.00",0.7,2019-12-25
차도포장,554,828,광주시,송정동,11,7.7,0.7,2019-12-25
차도포장,553,122861,광주시,초월읍,251.2,249.6,1,2019-12-25
차도포장,552,262,광주시,경안동,16,11.2,0.7,2019-12-25
차도포장,551,360678,광주시,퇴촌면,72.5,580,8,2019-12-25
차도포장,550,120376,광주시,오포읍,5.5,31.5,0.7,2019-12-25
차도포장,549,1376,광주시,경안동,36,25.2,0.7,2019-12-25
차도포장,548,100249,광주시,오포읍,60,42,0.7,2019-12-25
차도포장,547,365,광주시,경안동,8,5.6,0.7,2019-12-25
차도포장,546,261463,광주시,도척면,4,20,0.7,2019-12-25
차도포장,545,1538,광주시,경안동,20,14,0.7,2019-12-25
차도포장,544,1303,광주시,경안동,3,2.1,0.7,2019-12-25
차도포장,543,1568,광주시,경안동,42,29.4,0.7,2019-12-25
차도포장,542,1133,광주시,경안동,87.1,60.97,0.7,2019-12-25
차도포장,541,121363,광주시,오포읍,6,8.4,1.4,2019-12-25
차도포장,540,120285,광주시,오포읍,84.54,169.44,2.15,2019-12-25
차도포장,539,682,광주시,송정동,190.48,"1,749.96",8.41,2019-12-25
차도포장,538,120285,광주시,오포읍,6,12.6,0.7,2019-12-25
차도포장,537,140405,광주시,송정동,71,51,0.7,2019-12-25
차도포장,536,1505,광주시,경안동,4,2.9,0.7,2019-12-25
차도포장,535,1812,광주시,경안동,9,6.3,0.7,2019-12-25
차도포장,534,160512,광주시,오포읍,33.91,67.04,2.02,2019-12-25
차도포장,533,1652,광주시,경안동,2,1.4,0.7,2019-12-25
차도포장,532,120993,광주시,오포읍,5,4,0.8,2019-12-25
차도포장,531,160931,광주시,경안동,20.51,349.85,18.9,2019-12-25
차도포장,530,120285,광주시,오포읍,2,2.8,1.4,2019-12-25
차도포장,529,1768,광주시,송정동,13.8,44.44,0.7,2019-12-25
차도포장,528,226,광주시,경안동,8,5.6,0.7,2019-12-25
차도포장,527,1860,광주시,경안동,5.4,9.46,0.7,2019-12-25
차도포장,526,100284,광주시,오포읍,10,7,0.7,2019-12-25
차도포장,525,1339,광주시,경안동,8.1,109.9,0.7,2019-12-25
차도포장,524,1860,광주시,경안동,5,4.2,0.7,2019-12-25
차도포장,523,1417,광주시,경안동,5,3.5,0.7,2019-12-25
